code,system
M161z00,readv2
M161000,readv2
M161E00,readv2
M161600,readv2
M161B00,readv2
14F2.00,readv2
M161J00,readv2
M161F11,readv2
M161H00,readv2
M16y000,readv2
M161700,readv2
M161500,readv2
M161200,readv2
M161100,readv2
M161900,readv2
M161F00,readv2
M161800,readv2
M160000,readv2
M161300,readv2
M161400,readv2
M161A00,readv2
M161C00,readv2
8014.0,readv2
21633.0,readv2
105229.0,readv2
41149.0,readv2
3437.0,readv2
3193.0,readv2
4231.0,readv2
30272.0,readv2
162.0,readv2
59107.0,readv2
21503.0,readv2
28456.0,readv2
11761.0,readv2
30975.0,readv2
17094.0,readv2
93511.0,readv2
2945.0,readv2
30210.0,readv2
96880.0,readv2
60169.0,readv2
172.0,readv2
48257.0,readv2
20222.0,readv2
42008.0,readv2
3733.0,readv2
22501.0,readv2
18755.0,readv2
66711.0,readv2
24136.0,readv2
21104.0,readv2
65839.0,readv2
12500.0,readv2
476.0,readv2
26368.0,readv2
107494.0,readv2
32149.0,readv2
L40,readv2
M160200,readv2
M07.1,readv2
M160100,readv2
M07.0,readv2
N045200,readv2
M09.0,readv2
M166.00,readv2
M161D00,readv2
M16..00,readv2
M16z.00,readv2
M16y.00,readv2
M160z00,readv2
M160.00,readv2
Myu3000,readv2
Nyu1300,readv2
M161.00,readv2
M07.3,readv2
M160.11,readv2
M07.2,readv2
